movie_title,director_name,genres,actor_1_name,actor_2_name,actor_3_name
don't say a word ,Gary Fleder,Crime Drama Mystery Thriller,Oliver Platt,Jennifer Esposito,Conrad Goode
hansel & gretel: witch hunters ,Tommy Wirkola,Action Fantasy Horror,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal
unfaithful ,Adrian Lyne,Drama Thriller,Olivier Martinez,Erik Per Sullivan,Chad Lowe
i am number four ,D.J. Caruso,Action Adventure Sci-Fi Thriller,Alex Pettyfer,Emily Wickersham,Reuben Langdon
syriana ,Stephen Gaghan,Drama Thriller,Matt Damon,Amr Waked,Kayvan Novak
13 hours ,Michael Bay,Action Drama Thriller War,Toby Stephens,James Badge Dale,David Costabile
the book of life ,Jorge R. Gutiérrez,Adventure Animation Comedy Family Fantasy Romance,Channing Tatum,Hector Elizondo,Ana de la Reguera
firewall ,Richard Loncraine,Crime Thriller,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub
absolute power ,Clint Eastwood,Action Crime Drama Thriller,Clint Eastwood,Mark Margolis,Scott Glenn
g.i. jane ,Ridley Scott,Action Drama War,Viggo Mortensen,Demi Moore,John Michael Higgins
the game ,David Fincher,Drama Mystery Thriller,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet
silent hill ,Christophe Gans,Adventure Horror Mystery,Radha Mitchell,Deborah Kara Unger,Alice Krige
the replacements ,Howard Deutch,Comedy Sport,Keanu Reeves,Jon Favreau,Faizon Love
american reunion ,Jon Hurwitz,Comedy,Alyson Hannigan,Dania Ramirez,Natasha Lyonne
the negotiator ,F. Gary Gray,Action Crime Drama Mystery Thriller,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan
into the storm ,Steven Quale,Action Thriller,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence
beverly hills cop iii ,John Landis,Action Comedy Crime Thriller,Louis Lombardi,Jon Tenney,Gilbert R. Hill
gremlins 2: the new batch ,Joe Dante,Comedy Fantasy Horror,Christopher Lee,Robert Picardo,Phoebe Cates
the judge ,David Dobkin,Crime Drama,Robert Downey Jr.,Robert Duvall,Leighton Meester
the peacemaker ,Mimi Leder,Action Thriller,Armin Mueller-Stahl,Holt McCallany,Marcel Iures
resident evil: apocalypse ,Alexander Witt,Action Horror Sci-Fi Thriller,Milla Jovovich,Thomas Kretschmann,Mike Epps
bridget jones: the edge of reason ,Beeban Kidron,Comedy Drama Romance,Colin Firth,Jim Broadbent,Celia Imrie
out of time ,Carl Franklin,Crime Drama Romance Thriller,Denzel Washington,Sanaa Lathan,John Billingsley
on deadly ground ,Steven Seagal,Action Adventure Thriller,Mike Starr,Joan Chen,Sven-Ole Thorsen
the adventures of sharkboy and lavagirl 3-d ,Robert Rodriguez,Action Adventure Family Fantasy,Taylor Lautner,Kristin Davis,Taylor Dooley
the beach ,Danny Boyle,Adventure Drama Thriller,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills
raising helen ,Garry Marshall,Comedy Drama Romance,Amber Valletta,Felicity Huffman,Spencer Breslin
ninja assassin ,James McTeigue,Action Crime Thriller,Shô Kosugi,Ben Miles,Rain
for love of the game ,Sam Raimi,Drama Romance Sport,J.K. Simmons,Kelly Preston,Carmine Giovinazzo
striptease ,Andrew Bergman,Comedy Crime Drama Thriller,Demi Moore,Rumer Willis,Paul Guilfoyle
marmaduke ,Tom Dey,Comedy Family,Emma Stone,Judy Greer,Steve Coogan
hereafter ,Clint Eastwood,Drama Fantasy,Matt Damon,Jay Mohr,Cécile De France
murder by numbers ,Barbet Schroeder,Crime Mystery Thriller,Ryan Gosling,Chris Penn,Agnes Bruckner
assassins ,Richard Donner,Action Crime Thriller,Muse Watson,Sylvester Stallone,Kelly Rowan
hannibal rising ,Peter Webber,Crime Drama Thriller,Li Gong,Stephen Walters,Richard Brake
the story of us ,Rob Reiner,Comedy Drama Romance,Bruce Willis,Tim Matheson,Rita Wilson
the host ,Andrew Niccol,Action Adventure Romance Sci-Fi Thriller,J.D. Evermore,Chandler Canterbury,Rachel Roberts
basic ,John McTiernan,Action Crime Drama Mystery Thriller,Connie Nielsen,Harry Connick Jr.,Tim Daly
blood work ,Clint Eastwood,Action Crime Drama Mystery Thriller,Clint Eastwood,Anjelica Huston,Rick Hoffman
the international ,Tom Tykwer,Action Crime Drama Mystery Thriller,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl
escape from l.a. ,John Carpenter,Action Adventure Sci-Fi Thriller,Steve Buscemi,Valeria Golino,Michelle Forbes
the iron giant ,Brad Bird,Action Adventure Animation Comedy Drama Family Sci-Fi,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh
the life aquatic with steve zissou ,Wes Anderson,Adventure Comedy Drama,Bill Murray,Anjelica Huston,Matthew Gray Gubler
free state of jones ,Gary Ross,Action Biography Drama History War,Matthew McConaughey,Donald Watkins,Jessica Collins
the life of david gale ,Alan Parker,Crime Drama Thriller,Kevin Spacey,Kate Winslet,Matt Craven
man of the house ,Stephen Herek,Action Comedy,Christina Milian,Vanessa Ferlito,Kelli Garner
run all night ,Jaume Collet-Serra,Action Crime Drama Thriller,Liam Neeson,Common,Bruce McGill
eastern promises ,David Cronenberg,Crime Mystery Thriller,Viggo Mortensen,Naomi Watts,Raza Jaffrey
into the blue ,John Stockwell,Action Adventure Crime Thriller,Paul Walker,James Frain,Ashley Scott
the messenger: the story of joan of arc ,Luc Besson,Adventure Biography Drama History War,Paul Brooke,David Bailie,Rab Affleck
your highness ,David Gordon Green,Adventure Comedy Fantasy,Natalie Portman,Zooey Deschanel,James Franco
dream house ,Jim Sheridan,Drama Mystery Thriller,Naomi Watts,Gregory Smith,Sarah Gadon
mad city ,Costa-Gavras,Crime Drama Thriller,Mia Kirshner,Blythe Danner,William Atherton
baby's day out ,Patrick Read Johnson,Adventure Comedy Crime Drama Family,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon
the scarlet letter ,Roland Joffé,Drama Romance,Gary Oldman,Robert Duvall,Demi Moore
fair game ,Doug Liman,Biography Drama Thriller,Naomi Watts,Ty Burrell,Brooke Smith
domino ,Tony Scott,Action Biography Crime Drama Thriller,Ian Ziering,Mo'Nique,Edgar Ramírez
jade ,William Friedkin,Crime Drama Thriller,Michael Biehn,Chazz Palminteri,Linda Fiorentino
gamer ,Mark Neveldine,Action Sci-Fi Thriller,Gerard Butler,Logan Lerman,Alison Lohman
beautiful creatures ,Richard LaGravenese,Drama Fantasy Romance,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince
death to smoochy ,Danny DeVito,Comedy Crime Drama Thriller,Robin Williams,Vincent Schiavelli,Danny Woodburn
zoolander 2 ,Ben Stiller,Comedy,Milla Jovovich,Will Ferrell,Justin Theroux
the big bounce ,George Armitage,Comedy Crime,Morgan Freeman,Andrew Wilson,Willie Nelson
what planet are you from? ,Mike Nichols,Comedy Sci-Fi,Judy Greer,Linda Fiorentino,Garry Shandling
drive angry ,Patrick Lussier,Action Fantasy Thriller,Nicolas Cage,Billy Burke,Katy Mixon
street fighter: the legend of chun-li ,Andrzej Bartkowiak,Action Crime Drama Mystery Thriller,Chris Klein,Robin Shou,Josie Ho
the one ,James Wong,Action Sci-Fi Thriller,Jason Statham,Jet Li,Delroy Lindo
the adventures of ford fairlane ,Renny Harlin,Action Adventure Comedy Crime Music Mystery,Lauren Holly,Gilbert Gottfried,David Patrick Kelly
pirate radio ,Richard Curtis,Comedy Drama Music,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge
traffic ,Steven Soderbergh,Crime Drama Thriller,Michael O'Neill,Jacob Vargas,James Lew
indiana jones and the last crusade ,Steven Spielberg,Action Adventure Fantasy,Harrison Ford,Julian Glover,Alison Doody
anna karenina ,Joe Wright,Drama Romance,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen
chappie ,Neill Blomkamp,Action Crime Drama Sci-Fi Thriller,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo
the bone collector ,Phillip Noyce,Crime Drama Mystery Thriller,Denzel Washington,Angelina Jolie Pitt,Leland Orser
panic room ,David Fincher,Crime Drama Thriller,Kristen Stewart,Dwight Yoakam,Mel Rodriguez
the tooth fairy ,Chuck Bowman,Horror Thriller,P.J. Soles,Lochlyn Munro,Steve Bacic
three kings ,David O. Russell,Action Adventure Comedy Drama War,Judy Greer,Jamie Kennedy,Mykelti Williamson
child 44 ,Daniel Espinosa,Crime Drama Thriller,Tom Hardy,Fares Fares,Michael Nardone
rat race ,Jerry Zucker,Adventure Comedy,Corinna Harney,Douglas Haase,Vince Vieluf
k-pax ,Iain Softley,Drama Mystery Sci-Fi,Kevin Spacey,Jeff Bridges,Alfre Woodard
kate & leopold ,James Mangold,Comedy Fantasy Romance,Hugh Jackman,Natasha Lyonne,Bradley Whitford
bedazzled ,Harold Ramis,Comedy Fantasy Romance,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray
the cotton club ,Francis Ford Coppola,Crime Drama Music,Nicolas Cage,Bob Hoskins,Fred Gwynne
3:10 to yuma ,James Mangold,Adventure Crime Drama Western,Christian Bale,Logan Lerman,Gretchen Mol
taken 3 ,Olivier Megaton,Action Thriller,Liam Neeson,Dougray Scott,Jon Gries
out of sight ,Steven Soderbergh,Crime Drama Romance Thriller,Don Cheadle,Albert Brooks,Keith Hudson
the cable guy ,Ben Stiller,Comedy Drama Thriller,Matthew Broderick,Janeane Garofalo,Andy Dick
earth ,Deepa Mehta,Drama Romance War,Nandita Das,Gulshan Grover,Eric Peterson
dick tracy ,Warren Beatty,Action Comedy Crime Music Romance Thriller,Charlie Korsmo,Warren Beatty,Seymour Cassel
the thomas crown affair ,John McTiernan,Crime Romance Thriller,Mark Margolis,Faye Dunaway,Denis Leary
riding in cars with boys ,Penny Marshall,Biography Comedy Drama,Rosie Perez,Adam Garcia,Alissa Dean
first blood ,Ted Kotcheff,Action Adventure Drama,Sylvester Stallone,Brian Dennehy,Chris Mulkey
solaris ,Andrei Tarkovsky,Drama Mystery Sci-Fi,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk
happily n'ever after ,Paul Bolger,Adventure Animation Comedy Family Fantasy,Sarah Michelle Gellar,George Carlin,Rob Paulsen
mary reilly ,Stephen Frears,Drama Horror Romance Thriller,Julia Roberts,Bronagh Gallagher,George Cole
my best friend's wedding ,P.J. Hogan,Comedy Romance,Julia Roberts,Christopher Masterson,Rupert Everett
america's sweethearts ,Joe Roth,Comedy Romance,Julia Roberts,Rainn Wilson,Larry King
insomnia ,Christopher Nolan,Drama Mystery Thriller,Al Pacino,Maura Tierney,Crystal Lowe
star trek: first contact ,Jonathan Frakes,Action Adventure Drama Sci-Fi Thriller,LeVar Burton,Alfre Woodard,Jonathan Frakes
jonah hex ,Jimmy Hayward,Action Drama Fantasy Thriller Western,Michael Fassbender,Billy Blair,Julia Jones
courage under fire ,Edward Zwick,Action Drama Mystery Thriller War,Denzel Washington,Matt Damon,Scott Glenn
liar liar ,Tom Shadyac,Comedy Fantasy Romance,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb
the infiltrator ,Brad Furman,Biography Crime Drama Thriller,Joseph Gilgun,Amy Ryan,Olympia Dukakis
inchon ,Terence Young,Drama History War,Laurence Olivier,Ben Gazzara,Jacqueline Bisset
the flintstones ,Brian Levant,Comedy Family Fantasy,Jonathan Winters,Elizabeth Perkins,Harvey Korman
taken 2 ,Olivier Megaton,Action Crime Thriller,Liam Neeson,Luke Grimes,D.B. Sweeney
scary movie 3 ,David Zucker,Comedy,Regina Hall,Pamela Anderson,Jenny McCarthy
miss congeniality ,Donald Petrie,Action Comedy Crime Romance,Candice Bergen,Wendy Raquel Robinson,Heather Burns
journey to the center of the earth ,Eric Brevig,Action Adventure Family Fantasy Sci-Fi,Josh Hutcherson,Brendan Fraser,Anita Briem
the princess diaries 2: royal engagement ,Garry Marshall,Comedy Family Romance,Anne Hathaway,Raven-Symoné,Hector Elizondo
the pelican brief ,Alan J. Pakula,Crime Drama Mystery Thriller,Denzel Washington,Julia Roberts,Tony Goldwyn
the client ,Joel Schumacher,Crime Drama Mystery Thriller,Bradley Whitford,Anthony LaPaglia,Brad Renfro
the bucket list ,Rob Reiner,Adventure Comedy Drama,Morgan Freeman,Noel Gugliemi,Sean Hayes
patriot games ,Phillip Noyce,Action Thriller,Harrison Ford,Polly Walker,Patrick Bergin
monster-in-law ,Robert Luketic,Comedy Romance,Adam Scott,Jane Fonda,Elaine Stritch
prisoners ,Denis Villeneuve,Crime Drama Mystery Thriller,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette
training day ,Antoine Fuqua,Crime Drama Thriller,Denzel Washington,Snoop Dogg,Tom Berenger
galaxy quest ,Dean Parisot,Adventure Comedy Sci-Fi,Alan Rickman,Enrico Colantoni,Robin Sachs
scary movie 2 ,Keenen Ivory Wayans,Comedy,Natasha Lyonne,Veronica Cartwright,Andy Richter
the muppets ,James Bobin,Adventure Comedy Family Musical,Bill Cobbs,Eric Jacobson,Steve Whitmire
blade ,Stephen Norrington,Action Horror,Sanaa Lathan,Traci Lords,Udo Kier
coach carter ,Thomas Carter,Drama Sport,Channing Tatum,Rick Gonzalez,Robert Ri'chard
changing lanes ,Roger Michell,Drama Thriller,Sydney Pollack,Matt Malloy,Bruce Altman
anaconda ,Luis Llosa,Action Adventure Horror Thriller,Frank Welker,Eric Stoltz,Kari Wuhrer
coyote ugly ,David McNally,Comedy Drama Music Romance,Adam Garcia,Tyra Banks,Izabella Miko
love actually ,Richard Curtis,Comedy Drama Romance,Colin Firth,Liam Neeson,Kris Marshall
a bug's life ,John Lasseter,Adventure Animation Comedy Family Fantasy,Kevin Spacey,Madeline Kahn,John Ratzenberger
from hell ,Albert Hughes,Horror Mystery Thriller,Johnny Depp,Jason Flemyng,Ian Richardson
the specialist ,Luis Llosa,Action Crime Drama Romance Thriller,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.
tin cup ,Ron Shelton,Comedy Drama Romance Sport,Don Johnson,Cheech Marin,Rene Russo
"yours, mine and ours ",Melville Shavelson,Comedy Family,Lucille Ball,Tom Bosley,Tim Matheson
kicking & screaming ,Jesse Dylan,Comedy Family Romance Sport,Josh Hutcherson,Will Ferrell,Robert Duvall
the hitchhiker's guide to the galaxy ,Garth Jennings,Adventure Comedy Sci-Fi,Zooey Deschanel,Kelly Macdonald,Thomas Lennon
fat albert ,Joel Zwick,Comedy Family Fantasy Romance,Dania Ramirez,Nick Zano,Alice Greczyn
resident evil: extinction ,Russell Mulcahy,Action Horror Sci-Fi Thriller,Milla Jovovich,Mike Epps,James Tumminia
blended ,Frank Coraci,Comedy Romance,Bella Thorne,Adam Sandler,Joel McHale
last holiday ,Wayne Wang,Adventure Comedy Drama,LL Cool J,Alicia Witt,Timothy Hutton
the river wild ,Curtis Hanson,Action Adventure Crime Thriller,Meryl Streep,Glenn Morshower,William Lucking
the indian in the cupboard ,Frank Oz,Drama Family Fantasy,Steve Coogan,Vincent Kartheiser,David Keith
savages ,Oliver Stone,Crime Drama Thriller,Demián Bichir,Shea Whigham,Gary Stretch
cellular ,David R. Ellis,Action Crime Thriller,Richard Burgi,Valerie Cruz,Will Beinbrink
johnny english ,Peter Howitt,Action Adventure Comedy,Kevin McNally,Natalie Imbruglia,Ben Miller
the ant bully ,John A. Davis,Adventure Animation Comedy Family Fantasy,Nicolas Cage,Meryl Streep,Julia Roberts
dune ,David Lynch,Action Adventure Sci-Fi,Virginia Madsen,Jürgen Prochnow,José Ferrer
across the universe ,Julie Taymor,Drama Fantasy Musical Romance,Jim Sturgess,T.V. Carpio,Robert Clohessy
revolutionary road ,Sam Mendes,Drama Romance,Leonardo DiCaprio,Kate Winslet,Joe Komara
16 blocks ,Richard Donner,Action Crime Drama Thriller,Bruce Willis,David Zayas,Sasha Roiz
babylon a.d. ,Mathieu Kassovitz,Action Adventure Sci-Fi Thriller,Vin Diesel,Charlotte Rampling,David Belle
the glimmer man ,John Gray,Action Comedy Crime Drama Thriller,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans
multiplicity ,Harold Ramis,Comedy Romance Sci-Fi,John de Lancie,Brian Doyle-Murray,Obba Babatundé
aliens in the attic ,John Schultz,Adventure Comedy Family Fantasy Sci-Fi,Malese Jow,Carter Jenkins,Tim Meadows
the pledge ,Sean Penn,Crime Drama Mystery Thriller,Costas Mandylor,Adrien Dorval,Nels Lennarson
the producers ,Susan Stroman,Comedy Musical,Jon Lovitz,Will Ferrell,Matthew Broderick
dredd ,Pete Travis,Action Sci-Fi,Wood Harris,Jason Cope,Rakie Ayola
the phantom ,Simon Wincer,Action Adventure Comedy Fantasy,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson
all the pretty horses ,Billy Bob Thornton,Drama Romance Western,Matt Damon,Henry Thomas,Sam Shepard
nixon ,Oliver Stone,Biography Drama History,Anthony Hopkins,Bob Hoskins,Joan Allen
the ghost writer ,Roman Polanski,Mystery Thriller,Jim Belushi,Olivia Williams,Timothy Hutton
deep rising ,Stephen Sommers,Action Adventure Horror Sci-Fi,Djimon Hounsou,Jason Flemyng,Wes Studi
miracle at st. anna ,Spike Lee,Action Crime Drama Thriller War,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso
curse of the golden flower ,Yimou Zhang,Drama Romance,Li Gong,Ye Liu,Man Li
bangkok dangerous ,Danny Pang,Action Crime Thriller,Nicolas Cage,Charlie Yeung,James With
big trouble ,Barry Sonnenfeld,Comedy Crime Thriller,Zooey Deschanel,Janeane Garofalo,Omar Epps
love in the time of cholera ,Mike Newell,Drama Romance,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde
shadow conspiracy ,George P. Cosmatos,Action Thriller,Sam Waterston,Ben Gazzara,Nicholas Turturro
johnny english reborn ,Oliver Parker,Action Adventure Comedy Crime,Daniel Kaluuya,Tim McInnerny,Togo Igawa
foodfight! ,Lawrence Kasanoff,Action Animation Comedy Family Fantasy,Jerry Stiller,Larry Miller,Harvey Fierstein
argo ,Ben Affleck,Biography Drama History Thriller,Clea DuVall,Scoot McNairy,Tate Donovan
the fugitive ,Andrew Davis,Action Adventure Crime Drama Mystery Thriller,Harrison Ford,Daniel Roebuck,Sela Ward
the bounty hunter ,Andy Tennant,Action Comedy Romance,Gerard Butler,Dorian Missick,Peter Greene
sleepers ,Barry Levinson,Crime Drama Thriller,Robert De Niro,Brad Pitt,Minnie Driver
rambo: first blood part ii ,George P. Cosmatos,Action Adventure Thriller War,Sylvester Stallone,Julia Nickson,Martin Kove
the juror ,Brian Gibson,Drama Thriller,Joseph Gordon-Levitt,Demi Moore,Anne Heche
pinocchio ,Norman Ferguson,Animation Family Fantasy Musical,Mel Blanc,Dickie Jones,Cliff Edwards
heaven's gate ,Michael Cimino,Adventure Drama Western,Jeff Bridges,Sam Waterston,Isabelle Huppert
underworld: evolution ,Len Wiseman,Action Adventure Fantasy Sci-Fi Thriller,Sophia Myles,Tony Curran,Derek Jacobi
victor frankenstein ,Paul McGuigan,Drama Horror Sci-Fi Thriller,Daniel Radcliffe,Spencer Wilding,Daniel Mays
finding forrester ,Gus Van Sant,Drama,F. Murray Abraham,Rob Brown,Michael Nouri
28 days ,Betty Thomas,Comedy Drama,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins
unleashed ,Louis Leterrier,Action Crime Drama Thriller,Morgan Freeman,Jet Li,Bob Hoskins
the sweetest thing ,Roger Kumble,Comedy Romance,Judith Chapman,Lillian Adams,Chelsea Bond
the firm ,Sydney Pollack,Drama Mystery Thriller,Tom Cruise,Holly Hunter,Wilford Brimley
charlie st. cloud ,Burr Steers,Drama Fantasy Romance,Augustus Prew,Charlie Tahan,Valerie Tian
the mechanic ,Simon West,Action Crime Thriller,Jason Statham,Tony Goldwyn,Mini Anden
21 jump street ,Phil Lord,Action Comedy Crime,Channing Tatum,Dax Flame,Rob Riggle
notting hill ,Roger Michell,Comedy Drama Romance,Julia Roberts,Clarke Peters,Dylan Moran
chicken run ,Peter Lord,Adventure Animation Comedy Drama Family,Imelda Staunton,Miranda Richardson,Julia Sawalha
along came polly ,John Hamburg,Comedy Romance,Philip Seymour Hoffman,Masi Oka,Debra Messing
boomerang ,Reginald Hudlin,Comedy Drama Romance,John Witherspoon,Eartha Kitt,Geoffrey Holder
the heat ,Paul Feig,Action Comedy Crime,Michael Rapaport,William Xifaras,Demián Bichir
cleopatra ,Joseph L. Mankiewicz,Biography Drama History Romance,Martin Landau,Richard Burton,Roddy McDowall
here comes the boom ,Frank Coraci,Action Comedy Sport,Salma Hayek,Reggie Lee,Charice
high crimes ,Carl Franklin,Crime Drama Mystery Thriller,Morgan Freeman,Adam Scott,Bruce Davison
the mirror has two faces ,Barbra Streisand,Comedy Drama Romance,Jeff Bridges,Austin Pendleton,Mimi Rogers
the mothman prophecies ,Mark Pellington,Drama Horror Mystery Thriller,Debra Messing,Will Patton,David Eigenberg
brüno ,Larry Charles,Comedy,Bono,Elton John,Slash
licence to kill ,John Glen,Action Adventure Thriller,Robert Davi,Talisa Soto,Anthony Zerbe
red riding hood ,Catherine Hardwicke,Fantasy Horror Mystery Thriller,Gary Oldman,Billy Burke,Virginia Madsen
15 minutes ,John Herzfeld,Action Crime Drama Thriller,Robert De Niro,Charlize Theron,Kelsey Grammer
super mario bros. ,Annabel Jankel,Adventure Comedy Family Fantasy Sci-Fi,Bob Hoskins,Fisher Stevens,Fiona Shaw
lord of war ,Andrew Niccol,Crime Drama Thriller,Nicolas Cage,Jeremy Crutchley,Jared Burke
hero ,Yimou Zhang,Action Adventure History,Jet Li,Tony Chiu Wai Leung,Maggie Cheung
one for the money ,Julie Anne Robinson,Action Comedy Crime Romance Thriller,Fisher Stevens,Debbie Reynolds,Patrick Fischler
the interview ,Evan Goldberg,Comedy,James Franco,Randall Park,Anders Holm
the warrior's way ,Sngmoo Lee,Action Fantasy Western,Tony Cox,Dong-gun Jang,Jed Brophy
micmacs ,Jean-Pierre Jeunet,Action Comedy Crime,Omar Sy,Dany Boon,André Dussollier
8 mile ,Curtis Hanson,Drama Music,Mekhi Phifer,Omar Benson Miller,Evan Jones
animal kingdom: let's go ape ,Jamel Debbouze,Adventure Animation Comedy Family,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau
a knight's tale ,Brian Helgeland,Action Adventure Romance,Heath Ledger,Rufus Sewell,Bérénice Bejo
the medallion ,Gordon Chan,Action Comedy Fantasy,Julian Sands,Lee Evans,Anthony Chau-Sang Wong
the sixth sense ,M. Night Shyamalan,Drama Mystery Thriller,Bruce Willis,Haley Joel Osment,Olivia Williams
man on a ledge ,Asger Leth,Action Crime Thriller,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron
the big year ,David Frankel,Comedy,Joel McHale,Kevin Pollak,JoBeth Williams
the karate kid ,John G. Avildsen,Action Drama Family Sport,Martin Kove,William Zabka,William Bassett
american hustle ,David O. Russell,Crime Drama,Jennifer Lawrence,Christian Bale,Bradley Cooper
the proposal ,Anne Fletcher,Comedy Drama Romance,Ryan Reynolds,Denis O'Hare,Craig T. Nelson
double jeopardy ,Bruce Beresford,Crime Mystery Thriller,Bruce Greenwood,Annabeth Gish,Bruce Campbell
back to the future part ii ,Robert Zemeckis,Adventure Comedy Sci-Fi,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson
lucy ,Luc Besson,Action Sci-Fi Thriller,Scarlett Johansson,Morgan Freeman,Amr Waked
fifty shades of grey ,Sam Taylor-Johnson,Drama Romance,Jennifer Ehle,Luke Grimes,Callum Rennie
spy kids 3-d: game over ,Robert Rodriguez,Action Adventure Comedy Family Sci-Fi,Sylvester Stallone,Salma Hayek,Alexa PenaVega
a time to kill ,Joel Schumacher,Crime Drama Thriller,Kevin Spacey,Matthew McConaughey,Oliver Platt
cheaper by the dozen ,Shawn Levy,Comedy Family,Tom Welling,Alyson Stoner,Bonnie Hunt
lone survivor ,Peter Berg,Action Biography Drama Thriller War,Jerry Ferrara,Scott Elrod,Dan Bilzerian
a league of their own ,Penny Marshall,Comedy Drama Sport,Tom Hanks,Lori Petty,Rosie O'Donnell
the conjuring 2 ,James Wan,Horror Mystery Thriller,Javier Botet,Frances O'Connor,Robin Atkin Downes
the social network ,David Fincher,Biography Drama,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope
he's just not that into you ,Ken Kwapis,Comedy Drama Romance,Carmen Perez,Sabrina Revelle,Sachiko Ishida
scary movie 4 ,David Zucker,Comedy,Beau Mirchoff,Carmen Electra,Regina Hall
scream 3 ,Wes Craven,Horror Mystery,Kelly Rutherford,Roger Jackson,Nancy O'Dell
back to the future part iii ,Robert Zemeckis,Adventure Comedy Sci-Fi Western,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson
get hard ,Etan Cohen,Comedy Crime,Will Ferrell,Alison Brie,Craig T. Nelson
bram stoker's dracula ,Francis Ford Coppola,Fantasy Horror Romance,Keanu Reeves,Anthony Hopkins,Gary Oldman
julie & julia ,Nora Ephron,Biography Drama Romance,Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito
42 ,Brian Helgeland,Biography Drama Sport,Harrison Ford,Christopher Meloni,Nicole Beharie
the talented mr. ripley ,Anthony Minghella,Crime Drama Thriller,Philip Seymour Hoffman,Matt Damon,Jack Davenport
dumb and dumber to ,Bobby Farrelly,Comedy,Bill Murray,Kathleen Turner,Rob Riggle
eight below ,Frank Marshall,Adventure Drama Family,Paul Walker,Bruce Greenwood,Wendy Crewson
the intern ,Nancy Meyers,Comedy Drama,Robert De Niro,Anne Hathaway,Rene Russo
ride along 2 ,Tim Story,Action Comedy,Olivia Munn,Nadine Velazquez,Bruce McGill
the last of the mohicans ,Michael Mann,Action Adventure Drama Romance War,Wes Studi,Terry Kinney,Eric Schweig
ray ,Taylor Hackford,Biography Drama Music,Bokeem Woodbine,Curtis Armstrong,Harry Lennix
sin city ,Frank Miller,Crime Thriller,Rosario Dawson,Powers Boothe,Jason Douglas
vantage point ,Pete Travis,Crime Drama Mystery Thriller,Dennis Quaid,Edgar Ramírez,William Hurt
"i love you, man ",John Hamburg,Comedy Romance,J.K. Simmons,Jon Favreau,Jane Curtin
shallow hal ,Bobby Farrelly,Comedy Drama Fantasy Romance,Jason Alexander,Bruce McGill,Susan Ward
jfk ,Oliver Stone,Drama History Thriller,Sally Kirkland,Jay O. Sanders,Cheryl Penland
big momma's house 2 ,John Whitesell,Comedy Crime,Chloë Grace Moretz,Nia Long,Marisol Nichols
the mexican ,Gore Verbinski,Adventure Comedy Crime Romance,J.K. Simmons,Brad Pitt,Julia Roberts
unbroken ,Angelina Jolie Pitt,Biography Drama Sport War,Finn Wittrock,Jack O'Connell,Alex Russell
17 again ,Burr Steers,Comedy Drama Family Fantasy Romance,Matthew Perry,Hunter Parrish,Thomas Lennon
the other woman ,Nick Cassavetes,Comedy Romance,Don Johnson,Kate Upton,David Thornton
the final destination ,David R. Ellis,Horror,Krista Allen,Andrew Fiscella,Shantel VanSanten
bridge of spies ,Steven Spielberg,Drama History Thriller,Tom Hanks,Mark Rylance,Amy Ryan
behind enemy lines ,John Moore,Action Drama Thriller War,Joaquim de Almeida,David Keith,Sam Jaeger
get him to the greek ,Nicholas Stoller,Comedy Music,Pink,Mario Lopez,Lino Facioli
shall we dance ,Peter Chelsom,Comedy Drama Romance,Lisa Ann Walter,Nick Cannon,Omar Benson Miller
small soldiers ,Joe Dante,Action Adventure Comedy Family Sci-Fi,Kirsten Dunst,Denis Leary,Robert Picardo
spawn ,Mark A.Z. Dippé,Action Horror,Michael Jai White,Frank Welker,Miko Hughes
the count of monte cristo ,Kevin Reynolds,Action Adventure Drama Romance Thriller,Henry Cavill,James Frain,Michael Wincott
