,Unnamed: 0,Unnamed: 0.1,title,director,genres,actor1,actor2,actor3,combined_text
1062,1062,1062,prisoners,Denis Villeneuve,Crime Drama Mystery Thriller,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Denis Villeneuve Hugh Jackman Jake Gyllenhaal Dylan Minnette Crime Drama Mystery Thriller
1063,1063,1063,training day,Antoine Fuqua,Crime Drama Thriller,Denzel Washington,Snoop Dogg,Tom Berenger,Antoine Fuqua Denzel Washington Snoop Dogg Tom Berenger Crime Drama Thriller
1064,1064,1064,galaxy quest,Dean Parisot,Adventure Comedy Sci-Fi,Alan Rickman,Enrico Colantoni,Robin Sachs,Dean Parisot Alan Rickman Enrico Colantoni Robin Sachs Adventure Comedy Sci-Fi
1065,1065,1065,scary movie 2,Keenen Ivory Wayans,Comedy,Natasha Lyonne,Veronica Cartwright,Andy Richter,Keenen Ivory Wayans Natasha Lyonne Veronica Cartwright Andy Richter Comedy
1066,1066,1066,the muppets,James Bobin,Adventure Comedy Family Musical,Bill Cobbs,Eric Jacobson,Steve Whitmire,James Bobin Bill Cobbs Eric Jacobson Steve Whitmire Adventure Comedy Family Musical
1067,1067,1067,blade,Stephen Norrington,Action Horror,Sanaa Lathan,Traci Lords,Udo Kier,Stephen Norrington Sanaa Lathan Traci Lords Udo Kier Action Horror
1068,1068,1068,coach carter,Thomas Carter,Drama Sport,Channing Tatum,Rick Gonzalez,Robert Ri'chard,Thomas Carter Channing Tatum Rick Gonzalez Robert Ri'chard Drama Sport
1069,1069,1069,changing lanes,Roger Michell,Drama Thriller,Sydney Pollack,Matt Malloy,Bruce Altman,Roger Michell Sydney Pollack Matt Malloy Bruce Altman Drama Thriller
1070,1070,1070,anaconda,Luis Llosa,Action Adventure Horror Thriller,Frank Welker,Eric Stoltz,Kari Wuhrer,Luis Llosa Frank Welker Eric Stoltz Kari Wuhrer Action Adventure Horror Thriller
1071,1071,1071,coyote ugly,David McNally,Comedy Drama Music Romance,Adam Garcia,Tyra Banks,Izabella Miko,David McNally Adam Garcia Tyra Banks Izabella Miko Comedy Drama Music Romance
1072,1072,1072,love actually,Richard Curtis,Comedy Drama Romance,Colin Firth,Liam Neeson,Kris Marshall,Richard Curtis Colin Firth Liam Neeson Kris Marshall Comedy Drama Romance
1073,1073,1073,a bug's life,John Lasseter,Adventure Animation Comedy Family Fantasy,Kevin Spacey,Madeline Kahn,John Ratzenberger,John Lasseter Kevin Spacey Madeline Kahn John Ratzenberger Adventure Animation Comedy Family Fantasy
1074,1074,1074,from hell,Albert Hughes,Horror Mystery Thriller,Johnny Depp,Jason Flemyng,Ian Richardson,Albert Hughes Johnny Depp Jason Flemyng Ian Richardson Horror Mystery Thriller
1075,1075,1075,the specialist,Luis Llosa,Action Crime Drama Romance Thriller,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,Luis Llosa Sylvester Stallone Rod Steiger Emilio Estefan Jr. Action Crime Drama Romance Thriller
1076,1076,1076,tin cup,Ron Shelton,Comedy Drama Romance Sport,Don Johnson,Cheech Marin,Rene Russo,Ron Shelton Don Johnson Cheech Marin Rene Russo Comedy Drama Romance Sport
1077,1077,1077,"yours, mine and ours",Melville Shavelson,Comedy Family,Lucille Ball,Tom Bosley,Tim Matheson,Melville Shavelson Lucille Ball Tom Bosley Tim Matheson Comedy Family
1078,1078,1078,kicking & screaming,Jesse Dylan,Comedy Family Romance Sport,Josh Hutcherson,Will Ferrell,Robert Duvall,Jesse Dylan Josh Hutcherson Will Ferrell Robert Duvall Comedy Family Romance Sport
1079,1079,1079,the hitchhiker's guide to the galaxy,Garth Jennings,Adventure Comedy Sci-Fi,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Garth Jennings Zooey Deschanel Kelly Macdonald Thomas Lennon Adventure Comedy Sci-Fi
1080,1080,1080,fat albert,Joel Zwick,Comedy Family Fantasy Romance,Dania Ramirez,Nick Zano,Alice Greczyn,Joel Zwick Dania Ramirez Nick Zano Alice Greczyn Comedy Family Fantasy Romance
1081,1081,1081,resident evil: extinction,Russell Mulcahy,Action Horror Sci-Fi Thriller,Milla Jovovich,Mike Epps,James Tumminia,Russell Mulcahy Milla Jovovich Mike Epps James Tumminia Action Horror Sci-Fi Thriller
1082,1082,1082,blended,Frank Coraci,Comedy Romance,Bella Thorne,Adam Sandler,Joel McHale,Frank Coraci Bella Thorne Adam Sandler Joel McHale Comedy Romance
1083,1083,1083,last holiday,Wayne Wang,Adventure Comedy Drama,LL Cool J,Alicia Witt,Timothy Hutton,Wayne Wang LL Cool J Alicia Witt Timothy Hutton Adventure Comedy Drama
1084,1084,1084,the river wild,Curtis Hanson,Action Adventure Crime Thriller,Meryl Streep,Glenn Morshower,William Lucking,Curtis Hanson Meryl Streep Glenn Morshower William Lucking Action Adventure Crime Thriller
1085,1085,1085,the indian in the cupboard,Frank Oz,Drama Family Fantasy,Steve Coogan,Vincent Kartheiser,David Keith,Frank Oz Steve Coogan Vincent Kartheiser David Keith Drama Family Fantasy
1086,1086,1086,savages,Oliver Stone,Crime Drama Thriller,Demián Bichir,Shea Whigham,Gary Stretch,Oliver Stone Demián Bichir Shea Whigham Gary Stretch Crime Drama Thriller
1087,1087,1087,cellular,David R. Ellis,Action Crime Thriller,Richard Burgi,Valerie Cruz,Will Beinbrink,David R. Ellis Richard Burgi Valerie Cruz Will Beinbrink Action Crime Thriller
1088,1088,1088,johnny english,Peter Howitt,Action Adventure Comedy,Kevin McNally,Natalie Imbruglia,Ben Miller,Peter Howitt Kevin McNally Natalie Imbruglia Ben Miller Action Adventure Comedy
1089,1089,1089,the ant bully,John A. Davis,Adventure Animation Comedy Family Fantasy,Nicolas Cage,Meryl Streep,Julia Roberts,John A. Davis Nicolas Cage Meryl Streep Julia Roberts Adventure Animation Comedy Family Fantasy
1090,1090,1090,dune,David Lynch,Action Adventure Sci-Fi,Virginia Madsen,Jürgen Prochnow,José Ferrer,David Lynch Virginia Madsen Jürgen Prochnow José Ferrer Action Adventure Sci-Fi
1091,1091,1091,across the universe,Julie Taymor,Drama Fantasy Musical Romance,Jim Sturgess,T.V. Carpio,Robert Clohessy,Julie Taymor Jim Sturgess T.V. Carpio Robert Clohessy Drama Fantasy Musical Romance
1092,1092,1092,revolutionary road,Sam Mendes,Drama Romance,Leonardo DiCaprio,Kate Winslet,Joe Komara,Sam Mendes Leonardo DiCaprio Kate Winslet Joe Komara Drama Romance
1093,1093,1093,16 blocks,Richard Donner,Action Crime Drama Thriller,Bruce Willis,David Zayas,Sasha Roiz,Richard Donner Bruce Willis David Zayas Sasha Roiz Action Crime Drama Thriller
1094,1094,1094,babylon a.d.,Mathieu Kassovitz,Action Adventure Sci-Fi Thriller,Vin Diesel,Charlotte Rampling,David Belle,Mathieu Kassovitz Vin Diesel Charlotte Rampling David Belle Action Adventure Sci-Fi Thriller
1095,1095,1095,the glimmer man,John Gray,Action Comedy Crime Drama Thriller,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,John Gray Alexa PenaVega Bob Gunton Keenen Ivory Wayans Action Comedy Crime Drama Thriller
1096,1096,1096,multiplicity,Harold Ramis,Comedy Romance Sci-Fi,John de Lancie,Brian Doyle-Murray,Obba Babatundé,Harold Ramis John de Lancie Brian Doyle-Murray Obba Babatundé Comedy Romance Sci-Fi
1097,1097,1097,aliens in the attic,John Schultz,Adventure Comedy Family Fantasy Sci-Fi,Malese Jow,Carter Jenkins,Tim Meadows,John Schultz Malese Jow Carter Jenkins Tim Meadows Adventure Comedy Family Fantasy Sci-Fi
1098,1098,1098,the pledge,Sean Penn,Crime Drama Mystery Thriller,Costas Mandylor,Adrien Dorval,Nels Lennarson,Sean Penn Costas Mandylor Adrien Dorval Nels Lennarson Crime Drama Mystery Thriller
1099,1099,1099,the producers,Susan Stroman,Comedy Musical,Jon Lovitz,Will Ferrell,Matthew Broderick,Susan Stroman Jon Lovitz Will Ferrell Matthew Broderick Comedy Musical
1100,1100,1100,dredd,Pete Travis,Action Sci-Fi,Wood Harris,Jason Cope,Rakie Ayola,Pete Travis Wood Harris Jason Cope Rakie Ayola Action Sci-Fi
1101,1101,1101,the phantom,Simon Wincer,Action Adventure Comedy Fantasy,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Simon Wincer Cary-Hiroyuki Tagawa Treat Williams Kristy Swanson Action Adventure Comedy Fantasy
1102,1102,1102,all the pretty horses,Billy Bob Thornton,Drama Romance Western,Matt Damon,Henry Thomas,Sam Shepard,Billy Bob Thornton Matt Damon Henry Thomas Sam Shepard Drama Romance Western
1103,1103,1103,nixon,Oliver Stone,Biography Drama History,Anthony Hopkins,Bob Hoskins,Joan Allen,Oliver Stone Anthony Hopkins Bob Hoskins Joan Allen Biography Drama History
1104,1104,1104,the ghost writer,Roman Polanski,Mystery Thriller,Jim Belushi,Olivia Williams,Timothy Hutton,Roman Polanski Jim Belushi Olivia Williams Timothy Hutton Mystery Thriller
1105,1105,1105,deep rising,Stephen Sommers,Action Adventure Horror Sci-Fi,Djimon Hounsou,Jason Flemyng,Wes Studi,Stephen Sommers Djimon Hounsou Jason Flemyng Wes Studi Action Adventure Horror Sci-Fi
1106,1106,1106,miracle at st. anna,Spike Lee,Action Crime Drama Thriller War,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,Spike Lee Joseph Gordon-Levitt Omari Hardwick Laz Alonso Action Crime Drama Thriller War
1107,1107,1107,curse of the golden flower,Yimou Zhang,Drama Romance,Li Gong,Ye Liu,Man Li,Yimou Zhang Li Gong Ye Liu Man Li Drama Romance
1108,1108,1108,bangkok dangerous,Danny Pang,Action Crime Thriller,Nicolas Cage,Charlie Yeung,James With,Danny Pang Nicolas Cage Charlie Yeung James With Action Crime Thriller
1109,1109,1109,big trouble,Barry Sonnenfeld,Comedy Crime Thriller,Zooey Deschanel,Janeane Garofalo,Omar Epps,Barry Sonnenfeld Zooey Deschanel Janeane Garofalo Omar Epps Comedy Crime Thriller
1110,1110,1110,love in the time of cholera,Mike Newell,Drama Romance,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,Mike Newell Marcela Mar Giovanna Mezzogiorno Unax Ugalde Drama Romance
1111,1111,1111,shadow conspiracy,George P. Cosmatos,Action Thriller,Sam Waterston,Ben Gazzara,Nicholas Turturro,George P. Cosmatos Sam Waterston Ben Gazzara Nicholas Turturro Action Thriller
1112,1112,1112,johnny english reborn,Oliver Parker,Action Adventure Comedy Crime,Daniel Kaluuya,Tim McInnerny,Togo Igawa,Oliver Parker Daniel Kaluuya Tim McInnerny Togo Igawa Action Adventure Comedy Crime
1113,1113,1113,foodfight!,Lawrence Kasanoff,Action Animation Comedy Family Fantasy,Jerry Stiller,Larry Miller,Harvey Fierstein,Lawrence Kasanoff Jerry Stiller Larry Miller Harvey Fierstein Action Animation Comedy Family Fantasy
1114,1114,1114,argo,Ben Affleck,Biography Drama History Thriller,Clea DuVall,Scoot McNairy,Tate Donovan,Ben Affleck Clea DuVall Scoot McNairy Tate Donovan Biography Drama History Thriller
1115,1115,1115,the fugitive,Andrew Davis,Action Adventure Crime Drama Mystery Thriller,Harrison Ford,Daniel Roebuck,Sela Ward,Andrew Davis Harrison Ford Daniel Roebuck Sela Ward Action Adventure Crime Drama Mystery Thriller
1116,1116,1116,the bounty hunter,Andy Tennant,Action Comedy Romance,Gerard Butler,Dorian Missick,Peter Greene,Andy Tennant Gerard Butler Dorian Missick Peter Greene Action Comedy Romance
1117,1117,1117,sleepers,Barry Levinson,Crime Drama Thriller,Robert De Niro,Brad Pitt,Minnie Driver,Barry Levinson Robert De Niro Brad Pitt Minnie Driver Crime Drama Thriller
1118,1118,1118,rambo: first blood part ii,George P. Cosmatos,Action Adventure Thriller War,Sylvester Stallone,Julia Nickson,Martin Kove,George P. Cosmatos Sylvester Stallone Julia Nickson Martin Kove Action Adventure Thriller War
1119,1119,1119,the juror,Brian Gibson,Drama Thriller,Joseph Gordon-Levitt,Demi Moore,Anne Heche,Brian Gibson Joseph Gordon-Levitt Demi Moore Anne Heche Drama Thriller
1120,1120,1120,pinocchio,Norman Ferguson,Animation Family Fantasy Musical,Mel Blanc,Dickie Jones,Cliff Edwards,Norman Ferguson Mel Blanc Dickie Jones Cliff Edwards Animation Family Fantasy Musical
1121,1121,1121,heaven's gate,Michael Cimino,Adventure Drama Western,Jeff Bridges,Sam Waterston,Isabelle Huppert,Michael Cimino Jeff Bridges Sam Waterston Isabelle Huppert Adventure Drama Western
1122,1122,1122,underworld: evolution,Len Wiseman,Action Adventure Fantasy Sci-Fi Thriller,Sophia Myles,Tony Curran,Derek Jacobi,Len Wiseman Sophia Myles Tony Curran Derek Jacobi Action Adventure Fantasy Sci-Fi Thriller
1123,1123,1123,victor frankenstein,Paul McGuigan,Drama Horror Sci-Fi Thriller,Daniel Radcliffe,Spencer Wilding,Daniel Mays,Paul McGuigan Daniel Radcliffe Spencer Wilding Daniel Mays Drama Horror Sci-Fi Thriller
1124,1124,1124,finding forrester,Gus Van Sant,Drama,F. Murray Abraham,Rob Brown,Michael Nouri,Gus Van Sant F. Murray Abraham Rob Brown Michael Nouri Drama
1125,1125,1125,28 days,Betty Thomas,Comedy Drama,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,Betty Thomas Steve Buscemi Viggo Mortensen Elizabeth Perkins Comedy Drama
1126,1126,1126,unleashed,Louis Leterrier,Action Crime Drama Thriller,Morgan Freeman,Jet Li,Bob Hoskins,Louis Leterrier Morgan Freeman Jet Li Bob Hoskins Action Crime Drama Thriller
1127,1127,1127,the sweetest thing,Roger Kumble,Comedy Romance,Judith Chapman,Lillian Adams,Chelsea Bond,Roger Kumble Judith Chapman Lillian Adams Chelsea Bond Comedy Romance
1128,1128,1128,the firm,Sydney Pollack,Drama Mystery Thriller,Tom Cruise,Holly Hunter,Wilford Brimley,Sydney Pollack Tom Cruise Holly Hunter Wilford Brimley Drama Mystery Thriller
1129,1129,1129,charlie st. cloud,Burr Steers,Drama Fantasy Romance,Augustus Prew,Charlie Tahan,Valerie Tian,Burr Steers Augustus Prew Charlie Tahan Valerie Tian Drama Fantasy Romance
1130,1130,1130,the mechanic,Simon West,Action Crime Thriller,Jason Statham,Tony Goldwyn,Mini Anden,Simon West Jason Statham Tony Goldwyn Mini Anden Action Crime Thriller
1131,1131,1131,21 jump street,Phil Lord,Action Comedy Crime,Channing Tatum,Dax Flame,Rob Riggle,Phil Lord Channing Tatum Dax Flame Rob Riggle Action Comedy Crime
1132,1132,1132,notting hill,Roger Michell,Comedy Drama Romance,Julia Roberts,Clarke Peters,Dylan Moran,Roger Michell Julia Roberts Clarke Peters Dylan Moran Comedy Drama Romance
1133,1133,1133,chicken run,Peter Lord,Adventure Animation Comedy Drama Family,Imelda Staunton,Miranda Richardson,Julia Sawalha,Peter Lord Imelda Staunton Miranda Richardson Julia Sawalha Adventure Animation Comedy Drama Family
1134,1134,1134,along came polly,John Hamburg,Comedy Romance,Philip Seymour Hoffman,Masi Oka,Debra Messing,John Hamburg Philip Seymour Hoffman Masi Oka Debra Messing Comedy Romance
1135,1135,1135,boomerang,Reginald Hudlin,Comedy Drama Romance,John Witherspoon,Eartha Kitt,Geoffrey Holder,Reginald Hudlin John Witherspoon Eartha Kitt Geoffrey Holder Comedy Drama Romance
1136,1136,1136,the heat,Paul Feig,Action Comedy Crime,Michael Rapaport,William Xifaras,Demián Bichir,Paul Feig Michael Rapaport William Xifaras Demián Bichir Action Comedy Crime
1137,1137,1137,cleopatra,Joseph L. Mankiewicz,Biography Drama History Romance,Martin Landau,Richard Burton,Roddy McDowall,Joseph L. Mankiewicz Martin Landau Richard Burton Roddy McDowall Biography Drama History Romance
1138,1138,1138,here comes the boom,Frank Coraci,Action Comedy Sport,Salma Hayek,Reggie Lee,Charice,Frank Coraci Salma Hayek Reggie Lee Charice Action Comedy Sport
1139,1139,1139,high crimes,Carl Franklin,Crime Drama Mystery Thriller,Morgan Freeman,Adam Scott,Bruce Davison,Carl Franklin Morgan Freeman Adam Scott Bruce Davison Crime Drama Mystery Thriller
1140,1140,1140,the mirror has two faces,Barbra Streisand,Comedy Drama Romance,Jeff Bridges,Austin Pendleton,Mimi Rogers,Barbra Streisand Jeff Bridges Austin Pendleton Mimi Rogers Comedy Drama Romance
1141,1141,1141,the mothman prophecies,Mark Pellington,Drama Horror Mystery Thriller,Debra Messing,Will Patton,David Eigenberg,Mark Pellington Debra Messing Will Patton David Eigenberg Drama Horror Mystery Thriller
1142,1142,1142,brüno,Larry Charles,Comedy,Bono,Elton John,Slash,Larry Charles Bono Elton John Slash Comedy
1143,1143,1143,licence to kill,John Glen,Action Adventure Thriller,Robert Davi,Talisa Soto,Anthony Zerbe,John Glen Robert Davi Talisa Soto Anthony Zerbe Action Adventure Thriller
1144,1144,1144,red riding hood,Catherine Hardwicke,Fantasy Horror Mystery Thriller,Gary Oldman,Billy Burke,Virginia Madsen,Catherine Hardwicke Gary Oldman Billy Burke Virginia Madsen Fantasy Horror Mystery Thriller
1145,1145,1145,15 minutes,John Herzfeld,Action Crime Drama Thriller,Robert De Niro,Charlize Theron,Kelsey Grammer,John Herzfeld Robert De Niro Charlize Theron Kelsey Grammer Action Crime Drama Thriller
1146,1146,1146,super mario bros.,Annabel Jankel,Adventure Comedy Family Fantasy Sci-Fi,Bob Hoskins,Fisher Stevens,Fiona Shaw,Annabel Jankel Bob Hoskins Fisher Stevens Fiona Shaw Adventure Comedy Family Fantasy Sci-Fi
1147,1147,1147,lord of war,Andrew Niccol,Crime Drama Thriller,Nicolas Cage,Jeremy Crutchley,Jared Burke,Andrew Niccol Nicolas Cage Jeremy Crutchley Jared Burke Crime Drama Thriller
1148,1148,1148,hero,Yimou Zhang,Action Adventure History,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Yimou Zhang Jet Li Tony Chiu Wai Leung Maggie Cheung Action Adventure History
1149,1149,1149,one for the money,Julie Anne Robinson,Action Comedy Crime Romance Thriller,Fisher Stevens,Debbie Reynolds,Patrick Fischler,Julie Anne Robinson Fisher Stevens Debbie Reynolds Patrick Fischler Action Comedy Crime Romance Thriller
1150,1150,1150,the interview,Evan Goldberg,Comedy,James Franco,Randall Park,Anders Holm,Evan Goldberg James Franco Randall Park Anders Holm Comedy
1151,1151,1151,the warrior's way,Sngmoo Lee,Action Fantasy Western,Tony Cox,Dong-gun Jang,Jed Brophy,Sngmoo Lee Tony Cox Dong-gun Jang Jed Brophy Action Fantasy Western
1152,1152,1152,micmacs,Jean-Pierre Jeunet,Action Comedy Crime,Omar Sy,Dany Boon,André Dussollier,Jean-Pierre Jeunet Omar Sy Dany Boon André Dussollier Action Comedy Crime
1153,1153,1153,8 mile,Curtis Hanson,Drama Music,Mekhi Phifer,Omar Benson Miller,Evan Jones,Curtis Hanson Mekhi Phifer Omar Benson Miller Evan Jones Drama Music
1154,1154,1154,animal kingdom: let's go ape,Jamel Debbouze,Adventure Animation Comedy Family,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Jamel Debbouze Jamel Debbouze Youssef Hajdi Mélissa Theuriau Adventure Animation Comedy Family
1155,1155,1155,a knight's tale,Brian Helgeland,Action Adventure Romance,Heath Ledger,Rufus Sewell,Bérénice Bejo,Brian Helgeland Heath Ledger Rufus Sewell Bérénice Bejo Action Adventure Romance
1156,1156,1156,the medallion,Gordon Chan,Action Comedy Fantasy,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Gordon Chan Julian Sands Lee Evans Anthony Chau-Sang Wong Action Comedy Fantasy
1157,1157,1157,the sixth sense,M. Night Shyamalan,Drama Mystery Thriller,Bruce Willis,Haley Joel Osment,Olivia Williams,M. Night Shyamalan Bruce Willis Haley Joel Osment Olivia Williams Drama Mystery Thriller
1158,1158,1158,man on a ledge,Asger Leth,Action Crime Thriller,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Asger Leth Robert Clohessy Mandy Gonzalez J. Smith-Cameron Action Crime Thriller
1159,1159,1159,the big year,David Frankel,Comedy,Joel McHale,Kevin Pollak,JoBeth Williams,David Frankel Joel McHale Kevin Pollak JoBeth Williams Comedy
1160,1160,1160,the karate kid,John G. Avildsen,Action Drama Family Sport,Martin Kove,William Zabka,William Bassett,John G. Avildsen Martin Kove William Zabka William Bassett Action Drama Family Sport
1161,1161,1161,american hustle,David O. Russell,Crime Drama,Jennifer Lawrence,Christian Bale,Bradley Cooper,David O. Russell Jennifer Lawrence Christian Bale Bradley Cooper Crime Drama
1162,1162,1162,the proposal,Anne Fletcher,Comedy Drama Romance,Ryan Reynolds,Denis O'Hare,Craig T. Nelson,Anne Fletcher Ryan Reynolds Denis O'Hare Craig T. Nelson Comedy Drama Romance
1163,1163,1163,double jeopardy,Bruce Beresford,Crime Mystery Thriller,Bruce Greenwood,Annabeth Gish,Bruce Campbell,Bruce Beresford Bruce Greenwood Annabeth Gish Bruce Campbell Crime Mystery Thriller
1164,1164,1164,back to the future part ii,Robert Zemeckis,Adventure Comedy Sci-Fi,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Robert Zemeckis Lea Thompson Jeffrey Weissman Thomas F. Wilson Adventure Comedy Sci-Fi
1165,1165,1165,lucy,Luc Besson,Action Sci-Fi Thriller,Scarlett Johansson,Morgan Freeman,Amr Waked,Luc Besson Scarlett Johansson Morgan Freeman Amr Waked Action Sci-Fi Thriller
1166,1166,1166,fifty shades of grey,Sam Taylor-Johnson,Drama Romance,Jennifer Ehle,Luke Grimes,Callum Rennie,Sam Taylor-Johnson Jennifer Ehle Luke Grimes Callum Rennie Drama Romance
1167,1167,1167,spy kids 3-d: game over,Robert Rodriguez,Action Adventure Comedy Family Sci-Fi,Sylvester Stallone,Salma Hayek,Alexa PenaVega,Robert Rodriguez Sylvester Stallone Salma Hayek Alexa PenaVega Action Adventure Comedy Family Sci-Fi
1168,1168,1168,a time to kill,Joel Schumacher,Crime Drama Thriller,Kevin Spacey,Matthew McConaughey,Oliver Platt,Joel Schumacher Kevin Spacey Matthew McConaughey Oliver Platt Crime Drama Thriller
1169,1169,1169,cheaper by the dozen,Shawn Levy,Comedy Family,Tom Welling,Alyson Stoner,Bonnie Hunt,Shawn Levy Tom Welling Alyson Stoner Bonnie Hunt Comedy Family
1170,1170,1170,lone survivor,Peter Berg,Action Biography Drama Thriller War,Jerry Ferrara,Scott Elrod,Dan Bilzerian,Peter Berg Jerry Ferrara Scott Elrod Dan Bilzerian Action Biography Drama Thriller War
1171,1171,1171,a league of their own,Penny Marshall,Comedy Drama Sport,Tom Hanks,Lori Petty,Rosie O'Donnell,Penny Marshall Tom Hanks Lori Petty Rosie O'Donnell Comedy Drama Sport
1172,1172,1172,the conjuring 2,James Wan,Horror Mystery Thriller,Javier Botet,Frances O'Connor,Robin Atkin Downes,James Wan Javier Botet Frances O'Connor Robin Atkin Downes Horror Mystery Thriller
1173,1173,1173,the social network,David Fincher,Biography Drama,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,David Fincher Andrew Garfield Dustin Fitzsimons Marcella Lentz-Pope Biography Drama
1174,1174,1174,he's just not that into you,Ken Kwapis,Comedy Drama Romance,Carmen Perez,Sabrina Revelle,Sachiko Ishida,Ken Kwapis Carmen Perez Sabrina Revelle Sachiko Ishida Comedy Drama Romance
1175,1175,1175,scary movie 4,David Zucker,Comedy,Beau Mirchoff,Carmen Electra,Regina Hall,David Zucker Beau Mirchoff Carmen Electra Regina Hall Comedy
1176,1176,1176,scream 3,Wes Craven,Horror Mystery,Kelly Rutherford,Roger Jackson,Nancy O'Dell,Wes Craven Kelly Rutherford Roger Jackson Nancy O'Dell Horror Mystery
1177,1177,1177,back to the future part iii,Robert Zemeckis,Adventure Comedy Sci-Fi Western,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Robert Zemeckis Lea Thompson Jeffrey Weissman Thomas F. Wilson Adventure Comedy Sci-Fi Western
1178,1178,1178,get hard,Etan Cohen,Comedy Crime,Will Ferrell,Alison Brie,Craig T. Nelson,Etan Cohen Will Ferrell Alison Brie Craig T. Nelson Comedy Crime
1179,1179,1179,bram stoker's dracula,Francis Ford Coppola,Fantasy Horror Romance,Keanu Reeves,Anthony Hopkins,Gary Oldman,Francis Ford Coppola Keanu Reeves Anthony Hopkins Gary Oldman Fantasy Horror Romance
1180,1180,1180,julie & julia,Nora Ephron,Biography Drama Romance,Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito,Nora Ephron Meryl Streep Mary Lynn Rajskub Vanessa Ferlito Biography Drama Romance
1181,1181,1181,42,Brian Helgeland,Biography Drama Sport,Harrison Ford,Christopher Meloni,Nicole Beharie,Brian Helgeland Harrison Ford Christopher Meloni Nicole Beharie Biography Drama Sport
1182,1182,1182,the talented mr. ripley,Anthony Minghella,Crime Drama Thriller,Philip Seymour Hoffman,Matt Damon,Jack Davenport,Anthony Minghella Philip Seymour Hoffman Matt Damon Jack Davenport Crime Drama Thriller
1183,1183,1183,dumb and dumber to,Bobby Farrelly,Comedy,Bill Murray,Kathleen Turner,Rob Riggle,Bobby Farrelly Bill Murray Kathleen Turner Rob Riggle Comedy
1184,1184,1184,eight below,Frank Marshall,Adventure Drama Family,Paul Walker,Bruce Greenwood,Wendy Crewson,Frank Marshall Paul Walker Bruce Greenwood Wendy Crewson Adventure Drama Family
1185,1185,1185,the intern,Nancy Meyers,Comedy Drama,Robert De Niro,Anne Hathaway,Rene Russo,Nancy Meyers Robert De Niro Anne Hathaway Rene Russo Comedy Drama
1186,1186,1186,ride along 2,Tim Story,Action Comedy,Olivia Munn,Nadine Velazquez,Bruce McGill,Tim Story Olivia Munn Nadine Velazquez Bruce McGill Action Comedy
1187,1187,1187,the last of the mohicans,Michael Mann,Action Adventure Drama Romance War,Wes Studi,Terry Kinney,Eric Schweig,Michael Mann Wes Studi Terry Kinney Eric Schweig Action Adventure Drama Romance War
1188,1188,1188,ray,Taylor Hackford,Biography Drama Music,Bokeem Woodbine,Curtis Armstrong,Harry Lennix,Taylor Hackford Bokeem Woodbine Curtis Armstrong Harry Lennix Biography Drama Music
1189,1189,1189,sin city,Frank Miller,Crime Thriller,Rosario Dawson,Powers Boothe,Jason Douglas,Frank Miller Rosario Dawson Powers Boothe Jason Douglas Crime Thriller
1190,1190,1190,vantage point,Pete Travis,Crime Drama Mystery Thriller,Dennis Quaid,Edgar Ramírez,William Hurt,Pete Travis Dennis Quaid Edgar Ramírez William Hurt Crime Drama Mystery Thriller
1191,1191,1191,"i love you, man",John Hamburg,Comedy Romance,J.K. Simmons,Jon Favreau,Jane Curtin,John Hamburg J.K. Simmons Jon Favreau Jane Curtin Comedy Romance
1192,1192,1192,shallow hal,Bobby Farrelly,Comedy Drama Fantasy Romance,Jason Alexander,Bruce McGill,Susan Ward,Bobby Farrelly Jason Alexander Bruce McGill Susan Ward Comedy Drama Fantasy Romance
1193,1193,1193,jfk,Oliver Stone,Drama History Thriller,Sally Kirkland,Jay O. Sanders,Cheryl Penland,Oliver Stone Sally Kirkland Jay O. Sanders Cheryl Penland Drama History Thriller
1194,1194,1194,big momma's house 2,John Whitesell,Comedy Crime,Chloë Grace Moretz,Nia Long,Marisol Nichols,John Whitesell Chloë Grace Moretz Nia Long Marisol Nichols Comedy Crime
1195,1195,1195,the mexican,Gore Verbinski,Adventure Comedy Crime Romance,J.K. Simmons,Brad Pitt,Julia Roberts,Gore Verbinski J.K. Simmons Brad Pitt Julia Roberts Adventure Comedy Crime Romance
1196,1196,1196,unbroken,Angelina Jolie Pitt,Biography Drama Sport War,Finn Wittrock,Jack O'Connell,Alex Russell,Angelina Jolie Pitt Finn Wittrock Jack O'Connell Alex Russell Biography Drama Sport War
